Price,Address,Metro,Summary,General Information,Building Information,Price per meter
136 530 000 ₽,"Москва, ЦАО, р-н Хамовники, ул. Усачева, 15А",Фрунзенская,"151,7 м²;Общая;106 м²;Жилая;13 м²;Кухня;8 из 14;Этаж","Тип жилья;Вторичка;Высота потолков;3,3 м;Санузел;2 совмещенных, 1 раздельный;Балкон/лоджия;1 лоджия;Ремонт;Без ремонта;Вид из окон;На улицу и двор",Тип дома;Монолитно кирпичный;Парковка;Подземная,900 000 ₽/м²
15 376 200 ₽,"Москва, ЮАО, р-н Даниловский, Автозаводская ул., 24К1",Тульская,"36,61 м²;Общая;2 из 16;Этаж;2 кв. 2025;Срок сдачи;Чистовая;Отделка",Тип жилья;Новостройка Апартаменты;Высота потолков;3 м;Вид из окон;На улицу;Отделка;Чистовая,Сдача комплекса;Сдача в 2 кв. 2025;Застройщик;РКС Девелопмент;Класс;Бизнес;Кол-во корпусов;3 корпуса;Тип дома;Монолитно-кирпичный;Парковка;Подземная;Отделка;Чистовая,420 000 ₽/м²
32 400 000 ₽,"Москва, СЗАО, р-н Хорошево-Мневники, Сидней Сити жилой комплекс, к3",Шелепиха,64 м²;Общая;38 м²;Жилая;7 м²;Кухня;18 из 44;Этаж;Чистовая;Отделка,,,506 250 ₽/м²
200 000 000 ₽,"Москва, ЦАО, р-н Хамовники, ул. Усачева, 13",Фрунзенская,210 м²;Общая;29 м²;Кухня;5 из 12;Этаж,Тип жилья;Вторичка;Планировка;Изолированная;Санузел;4 раздельных;Балкон/лоджия;1 балкон;Ремонт;Без ремонта,Год постройки;2021;Аварийность;Нет;Парковка;Многоуровневая,952 381 ₽/м²
12 067 360 ₽,"Москва, САО, р-н Хорошевский, ул. Зорге, 9",Зорге,"27,9 м²;Общая;18,8 м²;Кухня;3 из 21;Этаж;2023;Срок сдачи;Черновая;Отделка","Тип жилья;Новостройка Апартаменты;Высота потолков;3,15 м;Санузел;1 совмещенный;Вид из окон;На улицу;Отделка;Черновая","Сдача комплекса;Сдача в 2022—2023;Застройщик;St Michael;Класс;Бизнес;Кол-во корпусов;3 корпуса;Тип дома;Монолитно-кирпичный;Парковка;Подземная, гостевая;Отделка;Без отделки, черновая",432 522 ₽/м²
34 900 000 ₽,"Москва, ЮАО, р-н Даниловский, ул. Архитектора Щусева, 2к3",ЗИЛ,"70 м²;Общая;35 м²;Жилая;18,1 м²;Кухня;8 из 14;Этаж;2017;Построен","Тип жилья;Вторичка;Планировка;Изолированная;Площадь комнат;18.82-16.14 м²;Высота потолков;3,1 м;Санузел;1 совмещенный;Балкон/лоджия;1 лоджия;Ремонт;Дизайнерский;Вид из окон;На улицу и двор","Год постройки;2018;Лифты;2 пасс., 2 груз.;Аварийность;Нет;Парковка;Подземная",498 571 ₽/м²
67 076 100 ₽,"Москва, ЦАО, р-н Таганский, Славянская пл., 2/5/4с5",Китай-город,"81,9 м²;Общая;41 м²;Жилая;3 из 8;Этаж;4 кв. 2022;Срок сдачи;Чистовая;Отделка",Тип жилья;Новостройка Апартаменты;Высота потолков;3 м;Вид из окон;Во двор;Отделка;Чистовая,,819 000 ₽/м²
23 900 000 ₽,"Москва, ЗАО, р-н Филевский парк, Багратионовский проезд, 5Ак1",Фили,"60,5 м²;Общая;38 м²;Жилая;8,5 м²;Кухня;19 из 42;Этаж",Тип жилья;Вторичка;Планировка;Изолированная;Площадь комнат;13.5-12.6-11.9 м²;Санузел;2 раздельных;Ремонт;Без ремонта;Вид из окон;На улицу и двор,"Тип дома;Монолитно кирпичный;Лифты;2 пасс., 1 груз.",395 041 ₽/м²
23 900 000 ₽,"Москва, ЗАО, р-н Филевский парк, Багратионовский проезд, 5Ак1",Фили,"60,5 м²;Общая;38 м²;Жилая;8,5 м²;Кухня;19 из 42;Этаж",Тип жилья;Вторичка;Планировка;Изолированная;Площадь комнат;13.5-12.6 м²;Санузел;2 раздельных;Ремонт;Без ремонта;Вид из окон;На улицу и двор,"Тип дома;Монолитно кирпичный;Лифты;2 пасс., 1 груз.",395 041 ₽/м²
92 218 776 ₽,"Москва, ЮЗАО, р-н Гагаринский, Ленинский просп., 38",Ленинский проспект,"141,18 м²;Общая;81,4 м²;Жилая;8,2 м²;Кухня;12 из 17;Этаж;4 кв. 2023;Срок сдачи;Черновая;Отделка","Тип жилья;Новостройка Апартаменты;Планировка;Изолированная;Площадь комнат;20.8-16.2-22.7 м²;Высота потолков;3,1 м;Санузел;4 совмещенных;Вид из окон;Во двор;Отделка;Черновая","Сдача комплекса;Сдача в 4 кв. 2023;Застройщик;Hutton Development;Класс;Премиум;Кол-во корпусов;3 корпуса;Тип дома;Монолитно-кирпичный, монолитный;Парковка;Подземная;Отделка;Предчистовая, черновая, чистовая",653 200 ₽/м²
385 000 000 ₽,"Москва, ЦАО, р-н Хамовники, Трубецкая ул., 12",Спортивная,"303 м²;Общая;120 м²;Жилая;23,8 м²;Кухня;11 из 12;Этаж",Тип жилья;Вторичка Пентхаус;Площадь комнат;65-25-18-14-28 м²;Санузел;4 совмещенных;Балкон/лоджия;1 балкон;Ремонт;Дизайнерский;Вид из окон;Во двор,Тип дома;Монолитно кирпичный;Парковка;Подземная,1 270 627 ₽/м²
20 381 000 ₽,"Москва, СВАО, р-н Ростокино, Сельскохозяйственная ул.",Ботанический сад,"43,4 м²;Общая;17,4 м²;Жилая;3 из 21;Этаж;4 кв. 2024;Срок сдачи;Без отделки;Отделка","Тип жилья;Новостройка;Высота потолков;3,02 м;Балкон/лоджия;1 балкон;Вид из окон;Во двор;Отделка;Нет",Сдача комплекса;Сдача в 2024—2026;Застройщик;Группа Родина;Класс;Премиум;Кол-во корпусов;6 корпусов;Тип дома;Монолитно-кирпичный;Парковка;Подземная;Отделка;Без отделки,469 608 ₽/м²
6 274 888 ₽,"Москва, НАО (Новомосковский), Мосрентген поселение, МелиСад жилой комплекс",Саларьево,"22,51 м²;Общая;8,4 м²;Жилая;4 м²;Кухня;2 из 24;Этаж;4 кв. 2024;Срок сдачи;Чистовая;Отделка","Тип жилья;Новостройка;Высота потолков;2,8 м;Санузел;1 совмещенный;Вид из окон;Во двор;Отделка;Чистовая","Сдача комплекса;Сдача в 4 кв. 2024;Застройщик;ГК МИЦ;Класс;Комфорт;Кол-во корпусов;2 корпуса;Тип дома;Монолитно-кирпичный;Парковка;Подземная, гостевая;Отделка;Без отделки, предчистовая, чистовая",278 760 ₽/м²
77 372 144 ₽,"Москва, ЦАО, р-н Арбат, ул. Новый Арбат",Смоленская,129 м²;Общая;5 из 13;Этаж;4 кв. 2015;Срок сдачи;Без отделки;Отделка,"Тип жилья;Новостройка Апартаменты;Планировка;Изолированная;Высота потолков;3,15 м;Отделка;Нет","Сдача комплекса;Сдан;Застройщик;Балтийская Строительная Компания;Класс;Премиум;Кол-во корпусов;1 корпус;Тип дома;Монолитно-кирпичный;Парковка;Подземная;Отделка;Без отделки, чистовая, чистовая с мебелью",599 784 ₽/м²
29 985 771 ₽,"Москва, ЮАО, р-н Даниловский, Подольское ш., 3",Тульская,"57,7 м²;Общая;27,3 м²;Жилая;6 из 13;Этаж;3 кв. 2024;Срок сдачи;Черновая;Отделка",Тип жилья;Новостройка Апартаменты;Высота потолков;3 м;Отделка;Черновая,,519 684 ₽/м²
31 457 000 ₽,"Москва, ЗАО, р-н Раменки, ул. Лобачевского, 120к1",Аминьевская,"75,8 м²;Общая;24 из 35;Этаж;1 кв. 2022;Сдан;Черновая;Отделка","Тип жилья;Новостройка;Высота потолков;3,1 м;Вид из окон;Во двор;Отделка;Черновая","Сдача комплекса;Сдан;Застройщик;Группа Эталон;Класс;Бизнес;Кол-во корпусов;3 корпуса;Тип дома;Монолитно-кирпичный;Парковка;Подземная, гостевая;Отделка;Без отделки, черновая",415 000 ₽/м²
34 900 000 ₽,"Москва, ЮАО, р-н Даниловский, ул. Архитектора Щусева, 2к3",ЗИЛ,"70 м²;Общая;35 м²;Жилая;18,1 м²;Кухня;8 из 14;Этаж;2017;Построен","Тип жилья;Вторичка;Планировка;Изолированная;Площадь комнат;18.82-16.14 м²;Высота потолков;3,1 м;Санузел;1 совмещенный;Балкон/лоджия;1 лоджия;Ремонт;Дизайнерский;Вид из окон;На улицу и двор","Год постройки;2018;Лифты;2 пасс., 2 груз.;Аварийность;Нет;Парковка;Подземная",498 571 ₽/м²
35 170 620 ₽,"Москва, ЮАО, р-н Даниловский, просп. Лихачева, 12к3",Технопарк,"84,1 м²;Общая;3 из 20;Этаж;4 кв. 2022;Срок сдачи",Тип жилья;Новостройка,"Сдача комплекса;Сдача в 4 кв. 2022, есть сданные;Застройщик;TEKTA GROUP;Класс;Бизнес;Кол-во корпусов;19 корпусов;Тип дома;Монолитно-кирпичный;Парковка;Подземная, гостевая;Отделка;Без отделки",418 200 ₽/м²
36 225 000 ₽,"Москва, ЦАО, р-н Таганский, Славянская пл., 2/5/4с5",Китай-город,"34,5 м²;Общая;17 м²;Жилая;7 из 8;Этаж;4 кв. 2022;Срок сдачи;Чистовая;Отделка",Тип жилья;Новостройка Апартаменты;Высота потолков;3 м;Вид из окон;Во двор;Отделка;Чистовая,,1 050 000 ₽/м²
36 807 600 ₽,"Москва, ЦАО, р-н Пресненский, Шмитовский проезд, 39",Шелепиха,"99,48 м²;Общая;48,4 м²;Жилая;30,8 м²;Кухня;4 из 51;Этаж;4 кв. 2022;Срок сдачи",Тип жилья;Новостройка;Площадь комнат;11.51+18.03+9.09+9.76 м²;Высота потолков;3 м;Санузел;2 раздельных,"Сдача комплекса;Сдача в 2022—2024, есть сданные;Застройщик;КОРТРОС;Класс;Бизнес;Кол-во корпусов;10 корпусов;Тип дома;Монолитно-кирпичный;Парковка;Подземная, гостевая;Отделка;Без отделки",370 000 ₽/м²
36 904 500 ₽,"Москва, ЦАО, р-н Пресненский, Шелепихинский туп.",Шелепиха,"82,01 м²;Общая;28,1 м²;Жилая;28,7 м²;Кухня;39 из 51;Этаж;2 кв. 2024;Срок сдачи",Тип жилья;Новостройка;Площадь комнат;14.71+13.42 м²;Высота потолков;3 м;Санузел;2 раздельных,"Сдача комплекса;Сдача в 2022—2024, есть сданные;Застройщик;КОРТРОС;Класс;Бизнес;Кол-во корпусов;10 корпусов;Тип дома;Монолитно-кирпичный;Парковка;Подземная, гостевая;Отделка;Без отделки",450 000 ₽/м²
37 429 200 ₽,"Москва, ЮАО, р-н Даниловский, просп. Лихачева, 12к3",Технопарк,"84,3 м²;Общая;16 из 20;Этаж;4 кв. 2022;Срок сдачи",Тип жилья;Новостройка,"Сдача комплекса;Сдача в 4 кв. 2022, есть сданные;Застройщик;TEKTA GROUP;Класс;Бизнес;Кол-во корпусов;19 корпусов;Тип дома;Монолитно-кирпичный;Парковка;Подземная, гостевая;Отделка;Без отделки",444 000 ₽/м²
39 585 000 ₽,"Москва, ЦАО, р-н Таганский, Славянская пл., 2/5/4с5",Китай-город,"43,5 м²;Общая;20 м²;Жилая;6 из 8;Этаж;4 кв. 2022;Срок сдачи;Чистовая;Отделка",Тип жилья;Новостройка Апартаменты;Высота потолков;3 м;Вид из окон;Во двор;Отделка;Чистовая,,910 000 ₽/м²
39 887 640 ₽,"Москва, ЮАО, р-н Даниловский, просп. Лихачева, 12к3",Технопарк,"94,7 м²;Общая;5 из 20;Этаж;4 кв. 2022;Срок сдачи",Тип жилья;Новостройка,"Сдача комплекса;Сдача в 4 кв. 2022, есть сданные;Застройщик;TEKTA GROUP;Класс;Бизнес;Кол-во корпусов;19 корпусов;Тип дома;Монолитно-кирпичный;Парковка;Подземная, гостевая;Отделка;Без отделки",421 200 ₽/м²
41 989 120 ₽,"Москва, ЦАО, р-н Пресненский, Шелепихинский туп.",Шелепиха,"82,01 м²;Общая;28,1 м²;Жилая;28,7 м²;Кухня;50 из 51;Этаж;2 кв. 2024;Срок сдачи",Тип жилья;Новостройка;Площадь комнат;14.71+13.42 м²;Высота потолков;3 м;Санузел;2 раздельных,"Сдача комплекса;Сдача в 2022—2024, есть сданные;Застройщик;КОРТРОС;Класс;Бизнес;Кол-во корпусов;10 корпусов;Тип дома;Монолитно-кирпичный;Парковка;Подземная, гостевая;Отделка;Без отделки",512 000 ₽/м²
43 261 500 ₽,"Москва, ЦАО, р-н Пресненский, Шелепихинский туп.",Шелепиха,"95,5 м²;Общая;51,4 м²;Жилая;20,1 м²;Кухня;36 из 51;Этаж;2 кв. 2024;Срок сдачи",Тип жилья;Новостройка;Площадь комнат;17.53+19.57+14.32 м²;Высота потолков;3 м;Санузел;2 раздельных,"Сдача комплекса;Сдача в 2022—2024, есть сданные;Застройщик;КОРТРОС;Класс;Бизнес;Кол-во корпусов;10 корпусов;Тип дома;Монолитно-кирпичный;Парковка;Подземная, гостевая;Отделка;Без отделки",453 000 ₽/м²
53 000 000 ₽,"Москва, ЗАО, р-н Раменки, просп. Генерала Дорохова, 39к1Б",Минская,97 м²;Общая;35 м²;Жилая;23 м²;Кухня;13 из 14;Этаж;2022;Построен,"Тип жилья;Вторичка;Планировка;Смежно-изолированная;Высота потолков;3,13 м;Санузел;3 совмещенных;Ремонт;Без ремонта;Вид из окон;На улицу",Тип дома;Монолитно кирпичный;Лифты;Есть;Парковка;Подземная;Мусоропровод;Есть,546 392 ₽/м²
57 092 906 ₽,"Москва, ЦАО, р-н Арбат, ул. Новый Арбат",Смоленская,"82,8 м²;Общая;6 из 13;Этаж;4 кв. 2015;Срок сдачи;Без отделки;Отделка","Тип жилья;Новостройка Апартаменты;Планировка;Изолированная;Высота потолков;3,15 м;Отделка;Нет","Сдача комплекса;Сдан;Застройщик;Балтийская Строительная Компания;Класс;Премиум;Кол-во корпусов;1 корпус;Тип дома;Монолитно-кирпичный;Парковка;Подземная;Отделка;Без отделки, чистовая, чистовая с мебелью",689 528 ₽/м²
58 000 000 ₽,"Москва, ЦАО, р-н Пресненский, Дружинниковская ул., 15А",Баррикадная,85 м²;Общая;60 м²;Жилая;17 м²;Кухня;6 из 20;Этаж,,,682 353 ₽/м²
67 076 100 ₽,"Москва, ЦАО, р-н Таганский, Славянская пл., 2/5/4с5",Китай-город,"81,9 м²;Общая;41 м²;Жилая;3 из 8;Этаж;4 кв. 2022;Срок сдачи;Чистовая;Отделка",Тип жилья;Новостройка Апартаменты;Высота потолков;3 м;Вид из окон;Во двор;Отделка;Чистовая,,819 000 ₽/м²
69 253 910 ₽,"Москва, ЦАО, р-н Арбат, ул. Новый Арбат",Смоленская,"106,7 м²;Общая;6 из 13;Этаж;4 кв. 2015;Срок сдачи;Без отделки;Отделка","Тип жилья;Новостройка Апартаменты;Планировка;Изолированная;Высота потолков;3,15 м;Отделка;Нет","Сдача комплекса;Сдан;Застройщик;Балтийская Строительная Компания;Класс;Премиум;Кол-во корпусов;1 корпус;Тип дома;Монолитно-кирпичный;Парковка;Подземная;Отделка;Без отделки, чистовая, чистовая с мебелью",649 053 ₽/м²
74 408 000 ₽,"Москва, ЦАО, р-н Таганский, Славянская пл., 2/5/4с5",Китай-город,"104,8 м²;Общая;26 м²;Жилая;4 из 8;Этаж;4 кв. 2022;Срок сдачи;Чистовая;Отделка",Тип жилья;Новостройка Апартаменты;Высота потолков;3 м;Вид из окон;Во двор;Отделка;Чистовая,,710 000 ₽/м²
77 372 144 ₽,"Москва, ЦАО, р-н Арбат, ул. Новый Арбат",Смоленская,129 м²;Общая;5 из 13;Этаж;4 кв. 2015;Срок сдачи;Без отделки;Отделка,"Тип жилья;Новостройка Апартаменты;Планировка;Изолированная;Высота потолков;3,15 м;Отделка;Нет","Сдача комплекса;Сдан;Застройщик;Балтийская Строительная Компания;Класс;Премиум;Кол-во корпусов;1 корпус;Тип дома;Монолитно-кирпичный;Парковка;Подземная;Отделка;Без отделки, чистовая, чистовая с мебелью",599 784 ₽/м²
78 624 000 ₽,"Москва, ЦАО, р-н Таганский, Славянская пл., 2/5/4с5",Китай-город,"81,9 м²;Общая;26,3 м²;Жилая;4 из 8;Этаж;4 кв. 2022;Срок сдачи;Чистовая;Отделка",Тип жилья;Новостройка Апартаменты;Высота потолков;3 м;Вид из окон;Во двор;Отделка;Чистовая,,960 000 ₽/м²
86 419 673 ₽,"Москва, ЦАО, р-н Арбат, ул. Новый Арбат",Смоленская,"109,5 м²;Общая;8 из 13;Этаж;4 кв. 2015;Срок сдачи;Без отделки;Отделка","Тип жилья;Новостройка Апартаменты;Планировка;Изолированная;Высота потолков;3,15 м;Отделка;Нет","Сдача комплекса;Сдан;Застройщик;Балтийская Строительная Компания;Класс;Премиум;Кол-во корпусов;1 корпус;Тип дома;Монолитно-кирпичный;Парковка;Подземная;Отделка;Без отделки, чистовая, чистовая с мебелью",789 221 ₽/м²
90 963 200 ₽,"Москва, ЮЗАО, р-н Гагаринский, Ленинский просп., 38",Ленинский проспект,"142,13 м²;Общая;81,7 м²;Жилая;8,2 м²;Кухня;13 из 17;Этаж;4 кв. 2023;Срок сдачи;Черновая;Отделка","Тип жилья;Новостройка Апартаменты;Планировка;Изолированная;Площадь комнат;20.8-16.2-22.7 м²;Высота потолков;3,1 м;Санузел;4 совмещенных;Вид из окон;Во двор;Отделка;Черновая","Сдача комплекса;Сдача в 4 кв. 2023;Застройщик;Hutton Development;Класс;Премиум;Кол-во корпусов;3 корпуса;Тип дома;Монолитно-кирпичный, монолитный;Парковка;Подземная;Отделка;Предчистовая, черновая, чистовая",640 000 ₽/м²
92 218 776 ₽,"Москва, ЮЗАО, р-н Гагаринский, Ленинский просп., 38",Ленинский проспект,"141,18 м²;Общая;81,4 м²;Жилая;8,2 м²;Кухня;12 из 17;Этаж;4 кв. 2023;Срок сдачи;Черновая;Отделка","Тип жилья;Новостройка Апартаменты;Планировка;Изолированная;Площадь комнат;20.8-16.2-22.7 м²;Высота потолков;3,1 м;Санузел;4 совмещенных;Вид из окон;Во двор;Отделка;Черновая","Сдача комплекса;Сдача в 4 кв. 2023;Застройщик;Hutton Development;Класс;Премиум;Кол-во корпусов;3 корпуса;Тип дома;Монолитно-кирпичный, монолитный;Парковка;Подземная;Отделка;Предчистовая, черновая, чистовая",653 200 ₽/м²
93 446 700 ₽,"Москва, ЮЗАО, р-н Гагаринский, Ленинский просп., 38",Ленинский проспект,"135,43 м²;Общая;72,3 м²;Жилая;11 м²;Кухня;12 из 17;Этаж;4 кв. 2023;Срок сдачи;Черновая;Отделка","Тип жилья;Новостройка Апартаменты;Планировка;Изолированная;Площадь комнат;16.7-15.4-14.2 м²;Высота потолков;3,1 м;Санузел;4 совмещенных;Вид из окон;Во двор;Отделка;Черновая","Сдача комплекса;Сдача в 4 кв. 2023;Застройщик;Hutton Development;Класс;Премиум;Кол-во корпусов;3 корпуса;Тип дома;Монолитно-кирпичный, монолитный;Парковка;Подземная;Отделка;Предчистовая, черновая, чистовая",690 000 ₽/м²
101 191 500 ₽,"Москва, ЦАО, р-н Арбат, Поварская ул., 8/1к1",Арбатская,"101,7 м²;Общая;51,2 м²;Жилая;13,6 м²;Кухня;3 из 6;Этаж;2017;Срок сдачи;Без отделки;Отделка",Тип жилья;Новостройка Апартаменты;Планировка;Изолированная;Площадь комнат;22.0-15.6-13.55 м²;Высота потолков;3 м;Санузел;3 совмещенных;Отделка;Нет,,995 000 ₽/м²
104 544 100 ₽,"Москва, ЦАО, р-н Арбат, Поварская ул., 8/1к1",Арбатская,"109,7 м²;Общая;48,9 м²;Жилая;12,4 м²;Кухня;2 из 6;Этаж;2017;Срок сдачи;Без отделки;Отделка","Тип жилья;Новостройка Апартаменты;Планировка;Изолированная;Площадь комнат;23.0-13.5-12.35 м²;Высота потолков;3,2 м;Санузел;3 совмещенных;Отделка;Нет",,953 000 ₽/м²
104 959 400 ₽,"Москва, ЦАО, р-н Арбат, Поварская ул., 8/1к1",Арбатская,"102,7 м²;Общая;51,2 м²;Жилая;13,6 м²;Кухня;4 из 6;Этаж;2017;Срок сдачи;Без отделки;Отделка",Тип жилья;Новостройка Апартаменты;Планировка;Изолированная;Площадь комнат;22.0-15.6-13.55 м²;Высота потолков;3 м;Санузел;3 совмещенных;Отделка;Нет,,1 022 000 ₽/м²
116 743 400 ₽,"Москва, ЦАО, р-н Арбат, ул. Новый Арбат",Смоленская,"111,3 м²;Общая;8 из 13;Этаж;4 кв. 2015;Срок сдачи;Чистовая;Отделка","Тип жилья;Новостройка Апартаменты;Планировка;Изолированная;Высота потолков;3,15 м;Отделка;Чистовая","Сдача комплекса;Сдан;Застройщик;Балтийская Строительная Компания;Класс;Премиум;Кол-во корпусов;1 корпус;Тип дома;Монолитно-кирпичный;Парковка;Подземная;Отделка;Без отделки, чистовая, чистовая с мебелью",1 048 907 ₽/м²
124 596 252 ₽,"Москва, ЦАО, р-н Арбат, ул. Новый Арбат",Смоленская,"122,7 м²;Общая;6 из 13;Этаж;4 кв. 2015;Срок сдачи;Чистовая;Отделка","Тип жилья;Новостройка Апартаменты;Планировка;Изолированная;Высота потолков;3,15 м;Отделка;Чистовая","Сдача комплекса;Сдан;Застройщик;Балтийская Строительная Компания;Класс;Премиум;Кол-во корпусов;1 корпус;Тип дома;Монолитно-кирпичный;Парковка;Подземная;Отделка;Без отделки, чистовая, чистовая с мебелью",1 015 454 ₽/м²
133 420 000 ₽,"Москва, ЦАО, р-н Арбат, Поварская ул., 8/1к1",Арбатская,"140 м²;Общая;67,8 м²;Жилая;14 м²;Кухня;2 из 6;Этаж;2017;Срок сдачи;Без отделки;Отделка","Тип жилья;Новостройка Апартаменты;Планировка;Изолированная;Площадь комнат;13.5-12.8-27.5-13.95 м²;Высота потолков;3,2 м;Санузел;3 совмещенных;Отделка;Нет",,953 000 ₽/м²
146 700 000 ₽,"Москва, СЗАО, р-н Хорошево-Мневники, Таманская ул., 3с2",улица Народного ополчения,"195,6 м²;Общая;3 из 3;Этаж;2 кв. 2019;Сдан",Тип жилья;Новостройка Апартаменты,,750 000 ₽/м²
158 323 080 ₽,"Москва, ЦАО, р-н Арбат, ул. Новый Арбат",Смоленская,"154,3 м²;Общая;8 из 13;Этаж;4 кв. 2015;Срок сдачи;Чистовая;Отделка","Тип жилья;Новостройка Апартаменты;Планировка;Изолированная;Высота потолков;3,15 м;Отделка;Чистовая","Сдача комплекса;Сдан;Застройщик;Балтийская Строительная Компания;Класс;Премиум;Кол-во корпусов;1 корпус;Тип дома;Монолитно-кирпичный;Парковка;Подземная;Отделка;Без отделки, чистовая, чистовая с мебелью",1 026 073 ₽/м²
172 635 000 ₽,"Москва, СЗАО, р-н Хорошево-Мневники, Таманская ул., 3с2",улица Народного ополчения,"203,1 м²;Общая;1 из 3;Этаж;2 кв. 2019;Сдан",Тип жилья;Новостройка Апартаменты,,850 000 ₽/м²
178 149 600 ₽,"Москва, ЦАО, р-н Арбат, Поварская ул., 8/1к1",Арбатская,"181,6 м²;Общая;77,7 м²;Жилая;20,4 м²;Кухня;5 из 5;Этаж;2017;Срок сдачи;Без отделки;Отделка","Тип жилья;Новостройка Апартаменты;Планировка;Изолированная;Площадь комнат;21.3-18.7-17.3-20.35 м²;Высота потолков;3,2 м;Санузел;4 совмещенных;Отделка;Нет",,981 000 ₽/м²
179 437 598 ₽,"Москва, ЦАО, р-н Арбат, ул. Новый Арбат",Смоленская,"190,4 м²;Общая;13 из 13;Этаж;4 кв. 2015;Срок сдачи;Без отделки;Отделка","Тип жилья;Новостройка Апартаменты;Планировка;Изолированная;Высота потолков;3,15 м;Отделка;Нет","Сдача комплекса;Сдан;Застройщик;Балтийская Строительная Компания;Класс;Премиум;Кол-во корпусов;1 корпус;Тип дома;Монолитно-кирпичный;Парковка;Подземная;Отделка;Без отделки, чистовая, чистовая с мебелью",942 424 ₽/м²
185 817 800 ₽,"Москва, ЦАО, р-н Арбат, Поварская ул., 8/1к1",Арбатская,"198,1 м²;Общая;92,6 м²;Жилая;25,8 м²;Кухня;4 из 5;Этаж;2017;Срок сдачи;Без отделки;Отделка","Тип жилья;Новостройка Апартаменты;Планировка;Изолированная;Площадь комнат;21.6-19.6-25.6-25.8 м²;Высота потолков;3,2 м;Санузел;4 совмещенных;Отделка;Нет",,938 000 ₽/м²
238 228 146 ₽,"Москва, ЦАО, р-н Арбат, ул. Новый Арбат",Смоленская,"184,6 м²;Общая;12 из 13;Этаж;4 кв. 2015;Срок сдачи;Без отделки;Отделка","Тип жилья;Новостройка Апартаменты;Планировка;Изолированная;Высота потолков;3,15 м;Отделка;Нет","Сдача комплекса;Сдан;Застройщик;Балтийская Строительная Компания;Класс;Премиум;Кол-во корпусов;1 корпус;Тип дома;Монолитно-кирпичный;Парковка;Подземная;Отделка;Без отделки, чистовая, чистовая с мебелью",1 290 510 ₽/м²
356 717 790 ₽,"Москва, ЦАО, р-н Хамовники, ул. Ефремова, 19к1",Спортивная,227 м²;Общая;158 м²;Жилая;19 м²;Кухня;2 из 7;Этаж;2015;Построен,"Тип жилья;Вторичка;Высота потолков;3,35 м;Санузел;2 совмещенных, 2 раздельных;Балкон/лоджия;1 балкон;Ремонт;Без ремонта;Вид из окон;Во двор",Год постройки;2015;Строительная серия;Индивидуальный проект;Подъезды;3;Лифты;9 всего;Отопление;Центральное;Аварийность;Нет;Парковка;Подземная,1 571 444 ₽/м²
365 000 000 ₽,"Москва, ЦАО, р-н Хамовники, ул. Усачева, 15А",Фрунзенская,"227,64 м²;Общая;11 из 11;Этаж",,,1 603 409 ₽/м²
385 000 000 ₽,"Москва, ЦАО, р-н Хамовники, Трубецкая ул., 12",Спортивная,"303 м²;Общая;120 м²;Жилая;23,8 м²;Кухня;11 из 12;Этаж",Тип жилья;Вторичка Пентхаус;Площадь комнат;65-25-18-14-28 м²;Санузел;4 совмещенных;Балкон/лоджия;1 балкон;Ремонт;Дизайнерский;Вид из окон;Во двор,Тип дома;Монолитно кирпичный;Парковка;Подземная,1 270 627 ₽/м²
419 000 000 ₽,"Москва, ЦАО, р-н Арбат, ул. Новый Арбат",Смоленская,375 м²;Общая;13 из 13;Этаж;4 кв. 2015;Срок сдачи;Без отделки;Отделка,"Тип жилья;Новостройка Апартаменты;Планировка;Изолированная;Высота потолков;3,15 м;Отделка;Нет","Сдача комплекса;Сдан;Застройщик;Балтийская Строительная Компания;Класс;Премиум;Кол-во корпусов;1 корпус;Тип дома;Монолитно-кирпичный;Парковка;Подземная;Отделка;Без отделки, чистовая, чистовая с мебелью",1 117 333 ₽/м²
483 412 020 ₽,"Москва, ЦАО, р-н Замоскворечье, Космодамианская наб., 4/22С8",Новокузнецкая,"162,11 м²;Общая;47,6 м²;Жилая;49,5 м²;Кухня;6 из 6;Этаж;2024;Срок сдачи;Без отделки;Отделка","Тип жилья;Новостройка Апартаменты;Планировка;Изолированная;Площадь комнат;16.08-15.98-15.55 м²;Высота потолков;3,6 м;Санузел;3 совмещенных;Балкон/лоджия;1 балкон;Отделка;Нет",Сдача комплекса;Сдача в 4 кв. 2024;Застройщик;Галс-Девелопмент;Класс;Премиум;Кол-во корпусов;2 корпуса;Тип дома;Монолитно-кирпичный;Парковка;Подземная;Отделка;Без отделки,2 982 000 ₽/м²
792 698 139 ₽,"Москва, ЦАО, р-н Арбат, ул. Новый Арбат",Смоленская,"415,8 м²;Общая;13 из 13;Этаж;4 кв. 2015;Срок сдачи;Без отделки;Отделка","Тип жилья;Новостройка Апартаменты;Планировка;Изолированная;Высота потолков;3,15 м;Отделка;Нет","Сдача комплекса;Сдан;Застройщик;Балтийская Строительная Компания;Класс;Премиум;Кол-во корпусов;1 корпус;Тип дома;Монолитно-кирпичный;Парковка;Подземная;Отделка;Без отделки, чистовая, чистовая с мебелью",1 906 441 ₽/м²
