Price,Address,Metro,Summary,General Information,Building Information,Price per meter
10 200 000 ₽,"Москва, НАО (Новомосковский), Коммунарка поселок, ул. Потаповская Роща, 26к1",Коммунарка,"38 м²;Общая;22,8 м²;Жилая;9 м²;Кухня;10 из 15;Этаж;2 кв. 2023;Срок сдачи;Чистовая;Отделка",,,268 421 ₽/м²
65 000 000 ₽,"Москва, ЗАО, р-н Раменки, Мосфильмовская ул., 70к2",Ломоносовский проспект,145 м²;Общая;102 м²;Жилая;15 м²;Кухня;36 из 48;Этаж,Тип жилья;Вторичка;Площадь комнат;22 25 35 20 м²;Санузел;2 совмещенных;Балкон/лоджия;1 балкон;Ремонт;Евроремонт;Вид из окон;Во двор,"Тип дома;Монолитно кирпичный;Лифты;2 пасс., 2 груз.;Мусоропровод;Нет",448 276 ₽/м²
75 660 000 ₽,"Москва, ЮАО, р-н Даниловский, 2-й Павелецкий проезд, 5С1",Тульская,"184,5 м²;Общая;8 из 8;Этаж;3 кв. 2016;Сдан;Без отделки;Отделка",Тип жилья;Новостройка Апартаменты;Отделка;Нет,,410 081 ₽/м²
130 000 000 ₽,"Москва, ЦАО, р-н Хамовники, ул. Усачева, 13",Фрунзенская,"134,13 м²;Общая;18,3 м²;Кухня;4 из 16;Этаж",Тип жилья;Вторичка;Планировка;Изолированная;Санузел;2 совмещенных;Ремонт;Без ремонта,Год постройки;2021;Аварийность;Нет;Парковка;Многоуровневая,969 209 ₽/м²
310 000 000 ₽,"Москва, ЦАО, р-н Хамовники, Саввинская наб., 13",Киевская,254 м²;Общая;8 из 9;Этаж;2021;Построен,"Тип жилья;Вторичка;Высота потолков;3,2 м;Ремонт;Без ремонта;Вид из окон;На улицу и двор",Год постройки;2021;Лифты;2 пасс.;Аварийность;Нет;Парковка;Подземная,1 220 472 ₽/м²
103 915 152 ₽,"Москва, ЦАО, р-н Замоскворечье, Космодамианская наб., 4/22С8",Новокузнецкая,"74,91 м²;Общая;26 м²;Жилая;23,5 м²;Кухня;4 из 6;Этаж;2024;Срок сдачи;Без отделки;Отделка","Тип жилья;Новостройка Апартаменты;Планировка;Изолированная;Площадь комнат;12.48-13.51 м²;Высота потолков;3,6 м;Санузел;2 совмещенных;Отделка;Нет",Сдача комплекса;Сдача в 4 кв. 2024;Застройщик;Галс-Девелопмент;Класс;Премиум;Кол-во корпусов;2 корпуса;Тип дома;Монолитно-кирпичный;Парковка;Подземная;Отделка;Без отделки,1 387 200 ₽/м²
22 701 800 ₽,"Москва, СВАО, р-н Ростокино, Сельскохозяйственная ул.",Ботанический сад,"48,6 м²;Общая;19,4 м²;Жилая;2 из 21;Этаж;4 кв. 2024;Срок сдачи;Без отделки;Отделка","Тип жилья;Новостройка;Высота потолков;3,02 м;Балкон/лоджия;1 балкон;Вид из окон;Во двор;Отделка;Нет",Сдача комплекса;Сдача в 2024—2026;Застройщик;Группа Родина;Класс;Премиум;Кол-во корпусов;6 корпусов;Тип дома;Монолитно-кирпичный;Парковка;Подземная;Отделка;Без отделки,467 115 ₽/м²
180 000 000 ₽,"Москва, ЦАО, р-н Хамовники, Саввинская наб., 13",Киевская,164 м²;Общая;50 м²;Жилая;30 м²;Кухня;2 из 9;Этаж,"Тип жилья;Вторичка;Площадь комнат;15-15-20 м²;Санузел;2 совмещенных, 2 раздельных;Ремонт;Без ремонта;Вид из окон;На улицу",Год постройки;2021;Аварийность;Нет;Парковка;Подземная,1 097 561 ₽/м²
29 866 872 ₽,"Москва, САО, р-н Хорошевский, ул. Зорге, 9",Зорге,"65,34 м²;Общая;34,5 м²;Жилая;12,5 м²;Кухня;16 из 21;Этаж;2022;Срок сдачи;Черновая;Отделка","Тип жилья;Новостройка Апартаменты;Планировка;Изолированная;Высота потолков;3,15 м;Санузел;2 раздельных;Вид из окон;На улицу;Отделка;Черновая","Сдача комплекса;Сдача в 2022—2023;Застройщик;St Michael;Класс;Бизнес;Кол-во корпусов;3 корпуса;Тип дома;Монолитно-кирпичный;Парковка;Подземная, гостевая;Отделка;Без отделки, черновая",457 099 ₽/м²
137 900 000 ₽,"Москва, СЗАО, р-н Хорошево-Мневники, Таманская ул., 3с2",улица Народного ополчения,197 м²;Общая;2 из 3;Этаж;2 кв. 2019;Сдан,Тип жилья;Новостройка Апартаменты,,700 000 ₽/м²
33 143 420 ₽,"Москва, ЮАО, р-н Нагатинский затон, Ривер Парк жилой комплекс",Коломенская,"82,9 м²;Общая;48,7 м²;Жилая;9,5 м²;Кухня;7 из 19;Этаж;2 кв. 2024;Срок сдачи;Чистовая;Отделка",Тип жилья;Новостройка;Вид из окон;На улицу и двор;Отделка;Чистовая,"Сдача комплекса;Сдача в 2 кв. 2024, есть сданные;Застройщик;Аеон Девелопмент;Класс;Бизнес;Кол-во корпусов;16 корпусов;Тип дома;Монолитно-кирпичный, монолитный;Парковка;Подземная, гостевая;Отделка;Чистовая",399 800 ₽/м²
