Price,Address,Metro,Summary,General Information,Building Information
36 500 000 ₽,"Москва, ЗАО, р-н Дорогомилово, Кутузовский просп., 31",Студенческая,62 м²;Общая;11 м²;Кухня;7 из 8;Этаж;1937;Построен,"Тип жилья;Вторичка;Планировка;Изолированная;Площадь комнат;20,5+16,5 м²;Высота потолков;3 м;Санузел;1 совмещенный;Балкон/лоджия;1 балкон;Ремонт;Дизайнерский",Год постройки;1937;Тип дома;Кирпичный;Тип перекрытий;Железобетонные;Подъезды;4;Лифты;Есть;Отопление;Центральное;Аварийность;Нет;Парковка;Наземная;Мусоропровод;Есть;Газоснабжение;Центральное
34 900 000 ₽,"Москва, ЦАО, р-н Хамовники, ул. Тимура Фрунзе, 20",Парк Культуры,"53,3 м²;Общая;5 из 5;Этаж;1907;Построен","Тип жилья;Вторичка;Планировка;Смежно-изолированная;Высота потолков;3,1 м;Ремонт;Дизайнерский;Вид из окон;Во двор",Год постройки;1907;Тип дома;Кирпичный;Тип перекрытий;Железобетонные;Подъезды;2;Отопление;Центральное;Аварийность;Нет;Парковка;Наземная;Мусоропровод;Нет;Газоснабжение;Центральное
59 900 000 ₽,"Москва, ЦАО, р-н Мещанский, Цветной бул., 16/1",Трубная,"139 м²;Общая;12,5 м²;Кухня;2 из 4;Этаж;1996;Построен","Тип жилья;Вторичка;Планировка;Изолированная;Высота потолков;2,8 м;Санузел;2 совмещенных;Балкон/лоджия;2 лоджии;Ремонт;Евроремонт;Вид из окон;На улицу и двор",Год постройки;1996;Строительная серия;Индивидуальный проект;Тип дома;Кирпичный;Тип перекрытий;Железобетонные;Подъезды;3;Лифты;Есть;Отопление;Центральное;Аварийность;Нет;Газоснабжение;Центральное
59 900 000 ₽,"Москва, ЦАО, р-н Мещанский, Цветной бул., 16/1",Цветной бульвар,"138,7 м²;Общая;80 м²;Жилая;13 м²;Кухня;2 из 5;Этаж;1996;Построен","Тип жилья;Вторичка;Планировка;Изолированная;Высота потолков;2,8 м;Санузел;3 совмещенных;Балкон/лоджия;2 лоджии;Ремонт;Евроремонт;Вид из окон;Во двор","Год постройки;1996;Строительная серия;Индивидуальный проект;Тип дома;Кирпичный;Тип перекрытий;Железобетонные;Подъезды;3;Лифты;1 пасс., 1 груз.;Отопление;Центральное;Аварийность;Нет;Газоснабжение;Центральное"
10 841 000 ₽,"Москва, ЦАО, р-н Таганский, ул. Воронцово Поле, 12С3",Чкаловская,"31,11 м²;Общая;17,8 м²;Жилая;2 из 4;Этаж;1895;Построен",Тип жилья;Вторичка Апартаменты;Санузел;1 совмещенный;Ремонт;Дизайнерский,Тип дома;Кирпичный
74 500 000 ₽,"Москва, ЦАО, р-н Пресненский, Малая Бронная ул., 4",Тверская,120 м²;Общая;30 м²;Кухня;2 из 5;Этаж,"Тип жилья;Вторичка;Планировка;Изолированная;Высота потолков;3,5 м;Санузел;2 совмещенных;Ремонт;Дизайнерский;Вид из окон;На улицу и двор","Год постройки;1910;Тип дома;Кирпичный;Тип перекрытий;Деревянные;Подъезды;2;Лифты;1 пасс., 1 груз.;Отопление;Центральное;Аварийность;Нет;Газоснабжение;Центральное"
75 000 000 ₽,"Москва, ЦАО, р-н Пресненский, Малая Бронная ул., 4",Пушкинская,"114,2 м²;Общая;2 из 5;Этаж;1910;Построен","Тип жилья;Вторичка;Высота потолков;3,5 м;Санузел;1 совмещенный, 1 раздельный;Ремонт;Дизайнерский;Вид из окон;На улицу и двор",Год постройки;1910;Тип дома;Кирпичный;Тип перекрытий;Деревянные;Подъезды;2;Лифты;Есть;Отопление;Центральное;Аварийность;Нет;Парковка;Наземная;Мусоропровод;Нет;Газоснабжение;Центральное
21 900 000 ₽,"Москва, ВАО, р-н Сокольники, ул. Гастелло, 41",Электрозаводская,65 м²;Общая;40 м²;Жилая;10 м²;Кухня;9 из 11;Этаж;1957;Построен,Тип жилья;Вторичка;Планировка;Изолированная;Площадь комнат;25-15 м²;Высота потолков;3 м;Санузел;1 раздельный;Балкон/лоджия;1 балкон;Ремонт;Косметический;Вид из окон;На улицу,Год постройки;1957;Тип дома;Кирпичный;Тип перекрытий;Железобетонные;Подъезды;7;Лифты;2 пасс.;Отопление;Центральное;Аварийность;Нет;Парковка;Наземная;Мусоропровод;Нет
59 000 000 ₽,"Москва, ЗАО, р-н Дорогомилово, Кутузовский просп., 26К1",Кутузовская,157 м²;Общая;21 м²;Кухня;5 из 10;Этаж;1947;Построен,"Тип жилья;Вторичка;Планировка;Изолированная;Высота потолков;3,2 м;Санузел;2 совмещенных;Балкон/лоджия;1 балкон;Ремонт;Евроремонт;Вид из окон;На улицу и двор",Год постройки;1944;Тип дома;Кирпичный;Подъезды;12;Лифты;Есть;Аварийность;Нет
80 000 000 ₽,"Москва, ЦАО, р-н Арбат, пер. Романов, 3С6",Библиотека им. Ленина,"107 м²;Общая;14,7 м²;Кухня;3 из 5;Этаж","Тип жилья;Вторичка;Планировка;Изолированная;Высота потолков;4,4 м;Санузел;2 совмещенных;Ремонт;Евроремонт;Вид из окон;Во двор","Год постройки;1900;Тип дома;Кирпичный;Тип перекрытий;Деревянные;Подъезды;3;Лифты;1 пасс., 1 груз.;Отопление;Центральное;Аварийность;Нет;Газоснабжение;Центральное"
55 000 000 ₽,"Москва, ЗАО, р-н Дорогомилово, наб. Тараса Шевченко, 1",Киевская,"117,7 м²;Общая;112 м²;Жилая;7 из 8;Этаж;1953;Построен","Тип жилья;Вторичка;Планировка;Изолированная;Высота потолков;3,2 м;Санузел;1 совмещенный;Балкон/лоджия;3 лоджии;Ремонт;Дизайнерский;Вид из окон;На улицу",Год постройки;1938;Тип дома;Кирпичный;Тип перекрытий;Деревянные;Подъезды;13;Лифты;13 всего;Отопление;Центральное;Аварийность;Нет;Парковка;Наземная;Мусоропровод;Нет
7 890 000 ₽,"Москва, СВАО, р-н Алексеевский, Ярославская ул., 17",ВДНХ,"26,3 м²;Общая;14 м²;Жилая;6 м²;Кухня;1 из 5;Этаж;1964;Построен",Тип жилья;Вторичка;Санузел;1 совмещенный;Ремонт;Косметический;Вид из окон;Во двор,Год постройки;1964;Тип дома;Кирпичный;Тип перекрытий;Железобетонные;Подъезды;3;Отопление;Центральное;Аварийность;Нет;Газоснабжение;Центральное
65 000 000 ₽,"Москва, ЦАО, р-н Хамовники, Фрунзенская наб., 36/2",Фрунзенская,"135,7 м²;Общая;100 м²;Жилая;20 м²;Кухня;10 из 10;Этаж",Тип жилья;Вторичка;Планировка;Изолированная;Высота потолков;3 м;Санузел;2 совмещенных;Ремонт;Евроремонт;Вид из окон;На улицу и двор,"Год постройки;1959;Тип дома;Кирпичный;Тип перекрытий;Железобетонные;Подъезды;12;Лифты;1 пасс., 1 груз.;Отопление;Центральное;Аварийность;Нет;Газоснабжение;Центральное"
29 000 000 ₽,"Москва, ЗАО, р-н Проспект Вернадского, ул. Удальцова, 32",Проспект Вернадского,90 м²;Общая;2 из 14;Этаж;1989;Построен,Тип жилья;Вторичка;Планировка;Смежно-изолированная;Санузел;1 раздельный;Балкон/лоджия;1 лоджия;Ремонт;Евроремонт;Вид из окон;Во двор,Год постройки;1989;Тип дома;Кирпичный;Тип перекрытий;Железобетонные;Подъезды;1;Лифты;2 пасс.;Отопление;Центральное;Аварийность;Нет;Мусоропровод;Нет
100 000 000 ₽,"Москва, ЦАО, р-н Арбат, Большой Афанасьевский пер., 22",Кропоткинская,110 м²;Общая;2 из 3;Этаж;1890;Построен,Тип жилья;Вторичка;Санузел;2 совмещенных;Балкон/лоджия;1 лоджия;Ремонт;Дизайнерский;Вид из окон;На улицу и двор,Год постройки;1890;Тип дома;Кирпичный;Тип перекрытий;Деревянные;Подъезды;2;Отопление;Центральное;Аварийность;Нет;Парковка;Наземная;Газоснабжение;Центральное
700 000 000 ₽,"Москва, ЦАО, р-н Пресненский, Гранатный пер., 6",Тверская,"194,7 м²;Общая;108 м²;Жилая;24 м²;Кухня;2 из 10;Этаж;2010;Построен",Тип жилья;Вторичка;Планировка;Изолированная;Площадь комнат;46-15-18-29 м²;Санузел;3 совмещенных;Ремонт;Дизайнерский;Вид из окон;Во двор,Год постройки;2010;Тип дома;Кирпичный;Тип перекрытий;Железобетонные;Подъезды;2;Лифты;4 пасс.;Отопление;Индивидуальный тепловой пункт;Аварийность;Нет
54 500 000 ₽,"Москва, ЦАО, р-н Пресненский, Никитский бул., 8",Арбатская,"142,6 м²;Общая;20 м²;Кухня;3 из 6;Этаж;1900;Построен","Тип жилья;Вторичка;Планировка;Изолированная;Высота потолков;3,2 м;Санузел;2 совмещенных;Ремонт;Евроремонт;Вид из окон;На улицу и двор",Год постройки;1900;Тип дома;Кирпичный;Тип перекрытий;Деревянные;Подъезды;3;Лифты;Есть;Отопление;Центральное;Аварийность;Нет;Газоснабжение;Центральное
508 175 000 ₽,"Москва, ЦАО, р-н Мещанский, ул. Кузнецкий Мост, 12/3С1",Кузнецкий мост,"203,27 м²;Общая;5 из 6;Этаж;2 кв. 2023;Срок сдачи;Без отделки;Отделка",,
79 975 000 ₽,"Москва, ЦАО, р-н Арбат, Смоленская наб., 2",Смоленская,96 м²;Общая;50 м²;Жилая;33 м²;Кухня;5 из 11;Этаж;1940;Построен,Тип жилья;Вторичка;Планировка;Изолированная;Площадь комнат;33+27+16 м²;Санузел;2 совмещенных;Балкон/лоджия;1 балкон;Ремонт;Дизайнерский;Вид из окон;На улицу и двор,Год постройки;1940;Тип дома;Кирпичный;Тип перекрытий;Смешанные;Подъезды;5;Лифты;2 пасс.;Отопление;Центральное;Аварийность;Нет;Мусоропровод;Есть
25 200 000 ₽,"Москва, САО, р-н Сокол, Ленинградский просп., 75А",Сокол,"65,2 м²;Общая;34,9 м²;Жилая;10,3 м²;Кухня;8 из 10;Этаж;1957;Построен","Тип жилья;Вторичка;Планировка;Изолированная;Площадь комнат;17,9+17 м²;Санузел;1 раздельный;Ремонт;Косметический;Вид из окон;Во двор",Год постройки;1957;Тип дома;Кирпичный;Тип перекрытий;Железобетонные;Подъезды;3;Лифты;2 пасс.;Отопление;Центральное;Аварийность;Нет
65 000 000 ₽,"Москва, ЦАО, р-н Хамовники, Фрунзенская наб., 36/2",Фрунзенская,"135,7 м²;Общая;100 м²;Жилая;20 м²;Кухня;10 из 10;Этаж;1959;Построен",Тип жилья;Вторичка Пентхаус;Планировка;Изолированная;Высота потолков;3 м;Санузел;2 совмещенных;Ремонт;Евроремонт;Вид из окон;На улицу и двор,Год постройки;1959;Тип дома;Кирпичный;Тип перекрытий;Железобетонные;Подъезды;12;Лифты;Есть;Отопление;Центральное;Аварийность;Нет;Газоснабжение;Центральное
59 900 000 ₽,"Москва, ЦАО, р-н Мещанский, Цветной бул., 16/1",Трубная,"138,7 м²;Общая;2 из 5;Этаж;1996;Построен",Тип жилья;Вторичка;Планировка;Изолированная;Санузел;3 совмещенных;Балкон/лоджия;2 лоджии;Ремонт;Евроремонт;Вид из окон;На улицу и двор,Год постройки;1996;Строительная серия;Индивидуальный проект;Тип дома;Кирпичный;Тип перекрытий;Железобетонные;Подъезды;3;Лифты;Есть;Отопление;Центральное;Аварийность;Нет;Мусоропровод;Есть;Газоснабжение;Центральное
180 875 000 ₽,"Москва, ЦАО, р-н Хамовники, Саввинская наб., 13",Киевская,"144,7 м²;Общая;5 из 9;Этаж",Тип жилья;Вторичка;Планировка;Изолированная;Санузел;4 совмещенных;Ремонт;Без ремонта;Вид из окон;Во двор,Год постройки;2021;Аварийность;Нет;Парковка;Многоуровневая
26 999 999 ₽,"Москва, САО, р-н Головинский, Ленинградское ш., 64К1",Водный стадион,54 м²;Общая;31 м²;Жилая;7 м²;Кухня;2 из 16;Этаж;1981;Построен,"Тип жилья;Вторичка;Планировка;Изолированная;Площадь комнат;21-10 м²;Высота потолков;2,75 м;Санузел;1 совмещенный;Балкон/лоджия;1 лоджия;Ремонт;Дизайнерский;Вид из окон;На улицу","Год постройки;1981;Тип дома;Кирпичный;Тип перекрытий;Железобетонные;Подъезды;1;Лифты;1 пасс., 1 груз.;Отопление;Центральное;Аварийность;Нет;Парковка;Наземная;Мусоропровод;Есть"
17 999 999 ₽,"Москва, ЗАО, р-н Фили-Давыдково, Кутузовский просп., 82",Кунцевская,56 м²;Общая;34 м²;Жилая;9 м²;Кухня;5 из 5;Этаж;1959;Построен,Тип жилья;Вторичка;Планировка;Изолированная;Площадь комнат;34 м²;Санузел;1 раздельный;Балкон/лоджия;1 лоджия;Ремонт;Евроремонт;Вид из окон;На улицу и двор,Год постройки;1960;Подъезды;6;Аварийность;Нет
265 000 000 ₽,"Москва, ЦАО, р-н Хамовники, Малая Пироговская ул., 8",Фрунзенская,"203,3 м²;Общая;20 м²;Кухня;11 из 12;Этаж;2015;Построен","Тип жилья;Вторичка;Высота потолков;3,1 м;Санузел;3 совмещенных;Ремонт;Дизайнерский;Вид из окон;На улицу и двор",Год постройки;2015;Тип дома;Кирпичный;Тип перекрытий;Железобетонные;Подъезды;11;Лифты;Есть;Отопление;Центральное;Аварийность;Нет;Парковка;Подземная
59 970 000 ₽,"Москва, ЦАО, р-н Хамовники, Староконюшенный пер., 5/14",Кропоткинская,153 м²;Общая;25 м²;Кухня;1 из 6;Этаж;1914;Построен,Тип жилья;Вторичка;Планировка;Изолированная;Высота потолков;4 м;Санузел;2 совмещенных;Ремонт;Евроремонт;Вид из окон;На улицу и двор,Год постройки;1914;Строительная серия;Индивидуальный проект;Тип дома;Кирпичный;Тип перекрытий;Смешанные;Подъезды;4;Лифты;Есть;Отопление;Центральное;Аварийность;Нет
155 000 000 ₽,"Москва, ЦАО, р-н Басманный, ул. Маросейка, 11/4С1",Китай-город,"127,7 м²;Общая;3 из 3;Этаж;2021;Построен","Тип жилья;Вторичка;Высота потолков;7,7 м;Санузел;1 совмещенный;Ремонт;Дизайнерский;Вид из окон;На улицу и двор",Тип дома;Кирпичный;Тип перекрытий;Деревянные;Подъезды;6;Лифты;Есть;Отопление;Центральное;Аварийность;Нет;Парковка;Наземная;Мусоропровод;Нет;Газоснабжение;Центральное
145 915 000 ₽,"Москва, ЦАО, р-н Якиманка, ул. Большая Якиманка, 15",Полянка,"265,3 м²;Общая;3 из 5;Этаж;1 кв. 2016;Сдан;Без отделки;Отделка",Тип жилья;Новостройка Апартаменты;Отделка;Нет,
74 600 000 ₽,"Москва, ЦАО, р-н Пресненский, Малая Бронная ул., 4",Пушкинская,"120 м²;Общая;70 м²;Жилая;40,9 м²;Кухня;2 из 5;Этаж;1910;Построен","Тип жилья;Вторичка;Высота потолков;3,5 м;Санузел;1 раздельный;Ремонт;Дизайнерский;Вид из окон;На улицу и двор",Год постройки;1910;Тип дома;Кирпичный;Тип перекрытий;Деревянные;Подъезды;2;Лифты;2 всего;Отопление;Центральное;Аварийность;Нет;Мусоропровод;Есть;Газоснабжение;Центральное
129 900 000 ₽,"Москва, ЦАО, р-н Пресненский, ул. Трехгорный Вал, 14С1",Улица 1905 года,164 м²;Общая;88 м²;Жилая;32 м²;Кухня;3 из 12;Этаж;2010;Построен,"Тип жилья;Вторичка;Площадь комнат;17-21-15+35 м²;Высота потолков;3,1 м;Санузел;2 совмещенных, 1 раздельный;Ремонт;Дизайнерский;Вид из окон;Во двор",Год постройки;2010;Тип дома;Кирпичный;Тип перекрытий;Железобетонные;Подъезды;4;Лифты;2 пасс.;Отопление;Центральное;Аварийность;Нет;Парковка;Подземная;Мусоропровод;Нет
39 940 000 ₽,"Москва, ЦАО, р-н Замоскворечье, Валовая ул., 8/18",Павелецкая,"86 м²;Общая;55,7 м²;Жилая;11 м²;Кухня;3 из 11;Этаж","Тип жилья;Вторичка;Планировка;Изолированная;Площадь комнат;20-20-15,7 м²;Высота потолков;3,05 м;Санузел;1 совмещенный, 1 раздельный;Балкон/лоджия;1 балкон;Ремонт;Дизайнерский;Вид из окон;Во двор",Год постройки;1957;Тип дома;Кирпичный;Тип перекрытий;Железобетонные;Подъезды;6;Лифты;2 пасс.;Отопление;Центральное;Аварийность;Нет;Парковка;Наземная
51 000 000 ₽,"Москва, ЦАО, р-н Пресненский, Никитский бул., 17",Арбатская,81 м²;Общая;5 из 8;Этаж,Тип жилья;Вторичка;Планировка;Смежно-изолированная;Высота потолков;3 м;Санузел;2 совмещенных;Ремонт;Дизайнерский,Год постройки;1971;Тип дома;Кирпичный;Тип перекрытий;Железобетонные;Подъезды;3;Лифты;3 всего;Отопление;Центральное;Аварийность;Нет;Газоснабжение;Центральное
139 000 000 ₽,"Москва, ЦАО, р-н Таганский, Котельническая наб., 1/15кВК",Таганская,96 м²;Общая;80 м²;Жилая;10 м²;Кухня;5 из 13;Этаж;1953;Построен,Тип жилья;Вторичка;Планировка;Изолированная;Санузел;1 совмещенный;Ремонт;Дизайнерский;Вид из окон;На улицу,Год постройки;1953;Тип дома;Кирпичный;Подъезды;4;Лифты;Есть;Аварийность;Нет;Мусоропровод;Нет
39 900 000 ₽,"Москва, ЦАО, р-н Хамовники, Смоленская ул., 7",Смоленская,"64,7 м²;Общая;7 из 10;Этаж",Тип жилья;Вторичка;Санузел;1 совмещенный;Ремонт;Дизайнерский;Вид из окон;На улицу и двор,Год постройки;1976;Тип дома;Кирпичный;Тип перекрытий;Железобетонные;Подъезды;8;Лифты;16 всего;Отопление;Центральное;Аварийность;Нет;Мусоропровод;Нет
39 890 000 ₽,"Москва, ЦАО, р-н Хамовники, Смоленская ул., 7",Смоленская,65 м²;Общая;50 м²;Жилая;10 м²;Кухня;7 из 10;Этаж;1976;Построен,Тип жилья;Вторичка;Планировка;Изолированная;Высота потолков;3 м;Санузел;1 совмещенный;Ремонт;Дизайнерский;Вид из окон;Во двор,"Год постройки;1976;Тип дома;Кирпичный;Тип перекрытий;Железобетонные;Подъезды;8;Лифты;1 пасс., 1 груз.;Отопление;Центральное;Аварийность;Нет"
29 900 000 ₽,"Москва, ЦАО, р-н Пресненский, ул. Красина, 24/28",Маяковская,67 м²;Общая;45 м²;Жилая;8 м²;Кухня;3 из 8;Этаж;1962;Построен,"Тип жилья;Вторичка;Планировка;Изолированная;Площадь комнат;16-12-17 м²;Высота потолков;2,8 м;Санузел;2 раздельных;Балкон/лоджия;1 балкон;Ремонт;Дизайнерский;Вид из окон;На улицу и двор",Год постройки;1960;Тип дома;Кирпичный;Тип перекрытий;Железобетонные;Подъезды;3;Лифты;Есть;Отопление;Центральное;Аварийность;Нет;Парковка;Наземная;Мусоропровод;Есть;Газоснабжение;Центральное
63 000 000 ₽,"Москва, ЦАО, р-н Тверской, Петровский бул., 17/1",Трубная,55 м²;Общая;2 из 4;Этаж,"Тип жилья;Вторичка Апартаменты;Высота потолков;3,8 м;Санузел;1 совмещенный;Ремонт;Дизайнерский",Год постройки;1917;Тип дома;Кирпичный;Тип перекрытий;Смешанные;Подъезды;5;Лифты;5 всего;Отопление;Центральное;Аварийность;Нет;Газоснабжение;Центральное
11 760 000 ₽,"Москва, СВАО, р-н Алексеевский, Ярославская ул., 17",ВДНХ,"39,2 м²;Общая;29 м²;Жилая;6 м²;Кухня;5 из 5;Этаж;1964;Построен",Тип жилья;Вторичка;Планировка;Смежная;Санузел;1 совмещенный;Ремонт;Косметический;Вид из окон;Во двор,Год постройки;1964;Тип дома;Кирпичный;Тип перекрытий;Железобетонные;Подъезды;3;Отопление;Центральное;Аварийность;Нет;Газоснабжение;Центральное
100 000 000 ₽,"Москва, ЦАО, р-н Красносельский, Сретенский бул., 6/1С1",Сретенский бульвар,205 м²;Общая;25 м²;Кухня;5 из 5;Этаж;1901;Построен,Тип жилья;Вторичка;Планировка;Изолированная;Высота потолков;5 м;Санузел;2 совмещенных;Ремонт;Евроремонт;Вид из окон;Во двор,Год постройки;1901;Тип дома;Кирпичный;Тип перекрытий;Железобетонные;Подъезды;15;Лифты;Есть;Отопление;Центральное;Аварийность;Нет;Газоснабжение;Центральное
199 000 000 ₽,"Москва, ЦАО, р-н Хамовники, ул. Пречистенка, 40/2С4",Кропоткинская,332 м²;Общая;191 м²;Жилая;25 м²;Кухня;8 из 9;Этаж,"Тип жилья;Вторичка;Высота потолков;3,5 м;Санузел;3 совмещенных;Балкон/лоджия;1 балкон;Ремонт;Дизайнерский",Год постройки;1905;Тип дома;Кирпичный;Подъезды;2;Лифты;Есть;Аварийность;Нет;Мусоропровод;Есть
115 000 000 ₽,"Москва, ЗАО, р-н Можайский, ул. Кутузова, 11К2",Кунцевская,275 м²;Общая;14 из 22;Этаж,"Тип жилья;Вторичка Пентхаус;Планировка;Смежно-изолированная;Высота потолков;3,1 м;Санузел;4 совмещенных;Ремонт;Дизайнерский",Год постройки;2002;Тип дома;Кирпичный;Тип перекрытий;Железобетонные;Подъезды;2;Лифты;5 всего;Отопление;Центральное;Аварийность;Нет
9 900 000 ₽,"Москва, НАО (Новомосковский), Филимонковское поселение, ул. Жемчужная, 1к2",Филатов Луг,"54,2 м²;Общая;9 м²;Кухня;2 из 4;Этаж;2021;Построен","Тип жилья;Вторичка;Планировка;Изолированная;Площадь комнат;14-11,5 м²;Санузел;1 совмещенный;Балкон/лоджия;1 балкон;Ремонт;Дизайнерский;Вид из окон;Во двор",Год постройки;2021;Лифты;Есть грузовой;Аварийность;Нет;Парковка;Наземная;Мусоропровод;Нет
181 394 400 ₽,"Москва, ЦАО, р-н Пресненский, пер. Брюсов, 1БС1",Александровский сад,"201,1 м²;Общая;2 из 6;Этаж;1892;Построен","Тип жилья;Вторичка;Высота потолков;3,6 м;Санузел;3 совмещенных;Ремонт;Дизайнерский;Вид из окон;На улицу и двор",Год постройки;1892;Тип дома;Кирпичный;Тип перекрытий;Деревянные;Подъезды;1;Лифты;Есть;Отопление;Центральное;Аварийность;Нет;Парковка;Открытая;Газоснабжение;Центральное
100 000 000 ₽,"Москва, ЦАО, р-н Красносельский, Сретенский бул., 6/1С1",Сретенский бульвар,"204,6 м²;Общая;20 м²;Кухня;5 из 5;Этаж;1901;Построен","Тип жилья;Вторичка;Высота потолков;3,64 м;Санузел;2 совмещенных;Ремонт;Дизайнерский;Вид из окон;На улицу и двор",Год постройки;1901;Тип дома;Кирпичный;Тип перекрытий;Железобетонные;Подъезды;15;Лифты;Есть;Отопление;Центральное;Аварийность;Нет;Газоснабжение;Центральное
70 000 000 ₽,"Москва, ЦАО, р-н Замоскворечье, Садовническая ул., 80",Павелецкая,"109,3 м²;Общая;2 из 6;Этаж;2018;Построен",Тип жилья;Вторичка;Планировка;Изолированная;Санузел;2 совмещенных;Ремонт;Без ремонта;Вид из окон;На улицу и двор,Год постройки;2018;Тип дома;Кирпичный;Подъезды;6;Лифты;Есть;Отопление;Центральное;Аварийность;Нет;Мусоропровод;Есть;Газоснабжение;Центральное
76 000 000 ₽,"Москва, СВАО, р-н Марьина роща, Тихвинская ул., 4",Менделеевская,178 м²;Общая;84 м²;Жилая;20 м²;Кухня;6 из 12;Этаж;1999;Построен,"Тип жилья;Вторичка;Планировка;Изолированная;Площадь комнат;17+10+13+14+30 м²;Высота потолков;3 м;Санузел;2 совмещенных;Балкон/лоджия;2 балкона, 2 лоджии;Ремонт;Дизайнерский;Вид из окон;На улицу и двор","Год постройки;1999;Тип дома;Кирпичный;Тип перекрытий;Железобетонные;Подъезды;4;Лифты;1 пасс., 1 груз.;Отопление;Центральное;Аварийность;Нет;Парковка;Открытая"
17 950 000 ₽,"Москва, ЮАО, р-н Нагатино-Садовники, Каширское ш., 7К1",Нагатинская,"57 м²;Общая;7,6 м²;Кухня;7 из 9;Этаж;1961;Построен",Тип жилья;Вторичка;Планировка;Изолированная;Балкон/лоджия;1 балкон;Ремонт;Дизайнерский;Вид из окон;Во двор,Год постройки;1961;Тип дома;Кирпичный;Тип перекрытий;Железобетонные;Подъезды;8;Лифты;2 пасс.;Отопление;Центральное;Аварийность;Нет;Мусоропровод;Есть;Газоснабжение;Центральное
12 700 000 ₽,"Москва, ЮАО, р-н Даниловский, Ослябинский пер., 3",Автозаводская,36 м²;Общая;21 м²;Жилая;6 м²;Кухня;7 из 9;Этаж;1975;Построен,Тип жилья;Вторичка;Балкон/лоджия;1 лоджия;Ремонт;Евроремонт;Вид из окон;Во двор,"Год постройки;1975;Тип дома;Кирпичный;Тип перекрытий;Железобетонные;Подъезды;1;Лифты;1 пасс., 1 груз.;Отопление;Центральное;Аварийность;Нет;Парковка;Наземная;Мусоропровод;Есть;Газоснабжение;Центральное"
49 499 999 ₽,"Москва, ЦАО, р-н Пресненский, Скатертный пер., 30С1",Арбатская,73 м²;Общая;8 м²;Кухня;4 из 6;Этаж;1934;Построен,"Тип жилья;Вторичка;Высота потолков;2,9 м;Санузел;1 совмещенный, 1 раздельный;Ремонт;Дизайнерский;Вид из окон;Во двор",Год постройки;1934;Тип дома;Кирпичный;Тип перекрытий;Деревянные;Подъезды;5;Лифты;Есть;Отопление;Центральное;Аварийность;Нет;Мусоропровод;Есть;Газоснабжение;Центральное
20 700 000 ₽,"Москва, САО, р-н Тимирязевский, Тимирязевская ул., 34К2",Тимирязевская,50 м²;Общая;24 м²;Жилая;15 м²;Кухня;3 из 10;Этаж;1964;Построен,"Тип жилья;Вторичка;Планировка;Смежно-изолированная;Площадь комнат;12-12 м²;Высота потолков;2,65 м;Санузел;1 совмещенный;Балкон/лоджия;1 балкон;Ремонт;Дизайнерский;Вид из окон;Во двор",Год постройки;1964;Строительная серия;II-29;Тип дома;Кирпичный;Тип перекрытий;Железобетонные;Подъезды;3;Лифты;Есть;Отопление;Центральное;Аварийность;Нет;Парковка;Наземная;Мусоропровод;Есть;Газоснабжение;Центральное
27 000 000 ₽,"Москва, ЦАО, р-н Якиманка, Житная ул., 10",Октябрьская,"52,5 м²;Общая;31 м²;Жилая;6,3 м²;Кухня;2 из 7;Этаж;1964;Построен",Тип жилья;Вторичка;Планировка;Изолированная;Площадь комнат;18-13 м²;Высота потолков;3 м;Санузел;1 раздельный;Вид из окон;На улицу,Год постройки;1946;Тип дома;Кирпичный;Тип перекрытий;Железобетонные;Подъезды;6;Лифты;Есть;Отопление;Центральное;Аварийность;Нет;Мусоропровод;Есть;Газоснабжение;Центральное
171 731 280 ₽,"Москва, ЦАО, р-н Арбат, ул. Новый Арбат, 29",Арбатская,215 м²;Общая;20 м²;Кухня;14 из 17;Этаж;1998;Построен,"Тип жилья;Вторичка;Высота потолков;3,2 м;Санузел;3 совмещенных;Ремонт;Дизайнерский;Вид из окон;На улицу и двор",Год постройки;1998;Строительная серия;Индивидуальный проект;Тип дома;Кирпичный;Тип перекрытий;Железобетонные;Подъезды;1;Лифты;Есть;Отопление;Центральное;Аварийность;Нет;Парковка;Подземная
145 000 000 ₽,"Москва, ЦАО, р-н Пресненский, Краснопресненская наб., 2/1",Баррикадная,260 м²;Общая;20 м²;Кухня;5 из 20;Этаж;1955;Построен,Тип жилья;Вторичка;Высота потолков;3 м;Санузел;3 совмещенных;Ремонт;Дизайнерский;Вид из окон;На улицу и двор,Год постройки;1954;Тип дома;Кирпичный;Тип перекрытий;Железобетонные;Подъезды;8;Лифты;Есть;Отопление;Центральное;Аварийность;Нет
39 890 000 ₽,"Москва, ЦАО, р-н Хамовники, Смоленская ул., 7",Смоленская,65 м²;Общая;7 из 10;Этаж;1976;Построен,Тип жилья;Вторичка;Планировка;Изолированная;Санузел;1 совмещенный;Ремонт;Дизайнерский;Вид из окон;На улицу,Год постройки;1976;Тип дома;Кирпичный;Тип перекрытий;Железобетонные;Подъезды;8;Лифты;2 пасс.;Отопление;Центральное;Аварийность;Нет;Мусоропровод;Есть
