Price,Address,Metro,Summary,General Information,Building Information
19 390 000 ₽,"Москва, ЗАО, р-н Кунцево, Рублевское ш., 20К1",Молодежная,"72,4 м²;Общая;41 м²;Жилая;12,5 м²;Кухня;2 из 17;Этаж;1994;Построен","Тип жилья;Вторичка;Площадь комнат;16.2-14-11 м²;Высота потолков;2,7 м;Санузел;1 совмещенный, 1 раздельный;Балкон/лоджия;1 лоджия;Ремонт;Евроремонт;Вид из окон;На улицу","Год постройки;1994;Тип дома;Панельный;Тип перекрытий;Железобетонные;Подъезды;3;Лифты;1 пасс., 1 груз.;Отопление;Центральное;Аварийность;Нет;Парковка;Открытая;Мусоропровод;Есть"
9 270 000 ₽,"Москва, ЮАО, р-н Чертаново Южное, Варшавское ш., 143К3",Аннино,"46,6 м²;Общая;18 м²;Жилая;10,2 м²;Кухня;1 из 16;Этаж;1978;Построен","Тип жилья;Вторичка;Площадь комнат;18 м²;Высота потолков;2,4 м;Санузел;1 раздельный;Ремонт;Без ремонта;Вид из окон;Во двор","Год постройки;1978;Тип дома;Панельный;Тип перекрытий;Железобетонные;Подъезды;2;Лифты;1 пасс., 1 груз.;Отопление;Центральное;Аварийность;Нет;Парковка;Открытая"
11 699 000 ₽,"Москва, ЗАО, р-н Раменки, ул. Довженко, 6",Минская,34 м²;Общая;16 м²;Жилая;8 м²;Кухня;5 из 9;Этаж;1976;Построен,"Тип жилья;Вторичка;Площадь комнат;16 м²;Высота потолков;2,6 м;Санузел;1 совмещенный;Балкон/лоджия;1 балкон;Ремонт;Косметический;Вид из окон;На улицу",Год постройки;1976;Тип дома;Панельный;Тип перекрытий;Железобетонные;Подъезды;26;Лифты;Есть;Отопление;Центральное;Аварийность;Нет
11 800 000 ₽,"Москва, СЗАО, р-н Северное Тушино, ул. Вилиса Лациса, 11К4",Планерная,"44,1 м²;Общая;27,5 м²;Жилая;6 м²;Кухня;8 из 9;Этаж;1969;Построен","Тип жилья;Вторичка;Планировка;Изолированная;Площадь комнат;18.3-9.2 м²;Высота потолков;2,65 м;Санузел;1 раздельный;Ремонт;Косметический;Вид из окон;Во двор","Год постройки;1969;Строительная серия;II-49;Тип дома;Панельный;Тип перекрытий;Железобетонные;Подъезды;8;Лифты;1 пасс., 1 груз.;Отопление;Центральное;Аварийность;Нет;Парковка;Наземная;Мусоропровод;Есть;Газоснабжение;Центральное"
8 550 000 ₽,"Москва, ЗАО, р-н Солнцево, ул. 50 лет Октября, 9",Говорово,"37,1 м²;Общая;6 м²;Кухня;4 из 17;Этаж",Тип жилья;Вторичка;Санузел;1 раздельный;Балкон/лоджия;1 балкон;Ремонт;Косметический,Год постройки;2005;Тип дома;Панельный;Тип перекрытий;Железобетонные;Подъезды;1;Лифты;2 всего;Отопление;Центральное;Аварийность;Нет
13 490 000 ₽,"Москва, СВАО, р-н Бибирево, ул. Плещеева, 18К2",Бибирево,"52 м²;Общая;30,5 м²;Жилая;9,8 м²;Кухня;5 из 14;Этаж;1999;Построен","Тип жилья;Вторичка;Планировка;Изолированная;Площадь комнат;19-11.5 м²;Высота потолков;2,75 м;Санузел;1 раздельный;Балкон/лоджия;1 балкон;Ремонт;Косметический;Вид из окон;На улицу","Год постройки;1999;Тип дома;Панельный;Тип перекрытий;Железобетонные;Подъезды;2;Лифты;2 пасс., 1 груз.;Отопление;Центральное;Аварийность;Нет;Парковка;Открытая;Мусоропровод;Есть"
11 700 000 ₽,"Москва, СЗАО, р-н Митино, ул. Барышиха, 13",Митино,"43,6 м²;Общая;19,6 м²;Жилая;10,7 м²;Кухня;13 из 17;Этаж;1998;Построен","Тип жилья;Вторичка;Площадь комнат;19.6 м²;Высота потолков;2,7 м;Санузел;1 раздельный;Балкон/лоджия;1 лоджия;Ремонт;Косметический;Вид из окон;Во двор","Год постройки;1998;Тип дома;Панельный;Тип перекрытий;Железобетонные;Подъезды;2;Лифты;1 пасс., 1 груз.;Отопление;Центральное;Аварийность;Нет;Парковка;Наземная;Мусоропровод;Есть"
12 900 000 ₽,"Москва, ЮЗАО, р-н Ясенево, Новоясеневский просп., 22К1",Ясенево,"53 м²;Общая;27,1 м²;Жилая;9,2 м²;Кухня;14 из 16;Этаж;1976;Построен","Тип жилья;Вторичка;Планировка;Изолированная;Площадь комнат;14.3-12.8 м²;Высота потолков;2,6 м;Санузел;1 раздельный;Балкон/лоджия;1 балкон;Ремонт;Косметический;Вид из окон;Во двор","Год постройки;1976;Строительная серия;П-3;Тип дома;Панельный;Тип перекрытий;Железобетонные;Подъезды;12;Лифты;1 пасс., 1 груз.;Отопление;Центральное;Аварийность;Нет;Парковка;Многоуровневая;Мусоропровод;Есть"
9 300 000 ₽,"Москва, ЗАО, р-н Солнцево, Волынская ул., 3",Солнцево,"38,6 м²;Общая;19,7 м²;Жилая;10,2 м²;Кухня;17 из 22;Этаж;1998;Построен","Тип жилья;Вторичка;Площадь комнат;19.7 м²;Высота потолков;2,66 м;Санузел;1 раздельный;Балкон/лоджия;1 балкон;Ремонт;Евроремонт;Вид из окон;Во двор","Год постройки;1998;Строительная серия;КОПЭ;Тип дома;Панельный;Тип перекрытий;Железобетонные;Подъезды;5;Лифты;1 пасс., 1 груз.;Отопление;Центральное;Аварийность;Нет;Парковка;Открытая;Мусоропровод;Есть"
10 900 000 ₽,"Москва, ЮАО, р-н Бирюлево Западное, Харьковский проезд, 9К3",Пражская,"55 м²;Общая;30,5 м²;Жилая;8 м²;Кухня;14 из 17;Этаж;2000;Построен","Тип жилья;Вторичка;Планировка;Смежная;Площадь комнат;18.2+12.3 м²;Высота потолков;2,7 м;Санузел;1 раздельный;Балкон/лоджия;2 балкона;Ремонт;Косметический;Вид из окон;На улицу и двор",Год постройки;2000;Тип дома;Панельный;Тип перекрытий;Железобетонные;Подъезды;5;Лифты;2 пасс.;Отопление;Центральное;Аварийность;Нет;Парковка;Открытая;Мусоропровод;Есть
8 550 000 ₽,"Москва, ЗАО, р-н Солнцево, ул. 50 лет Октября, 9",Говорово,"37,1 м²;Общая;6 м²;Кухня;4 из 17;Этаж",Тип жилья;Вторичка;Санузел;1 раздельный;Балкон/лоджия;1 балкон;Ремонт;Косметический,Год постройки;2005;Тип дома;Панельный;Тип перекрытий;Железобетонные;Подъезды;1;Лифты;2 всего;Отопление;Центральное;Аварийность;Нет
11 699 000 ₽,"Москва, ЗАО, р-н Раменки, ул. Довженко, 6",Минская,34 м²;Общая;16 м²;Жилая;8 м²;Кухня;5 из 9;Этаж;1976;Построен,"Тип жилья;Вторичка;Площадь комнат;16 м²;Высота потолков;2,6 м;Санузел;1 совмещенный;Балкон/лоджия;1 балкон;Ремонт;Косметический;Вид из окон;На улицу",Год постройки;1976;Тип дома;Панельный;Тип перекрытий;Железобетонные;Подъезды;26;Лифты;Есть;Отопление;Центральное;Аварийность;Нет
16 490 000 ₽,"Москва, СЗАО, р-н Строгино, ул. Кулакова, 19",Строгино,63 м²;Общая;12 из 12;Этаж;1979;Построен,"Тип жилья;Вторичка;Высота потолков;2,64 м;Санузел;1 совмещенный;Ремонт;Евроремонт;Вид из окон;Во двор",Год постройки;1979;Строительная серия;П-46;Тип дома;Панельный;Тип перекрытий;Железобетонные;Подъезды;11;Лифты;2 пасс.;Отопление;Центральное;Аварийность;Нет;Мусоропровод;Есть
12 700 000 ₽,"Москва, ЮВАО, р-н Некрасовка, ул. Недорубова, 5",Некрасовка,"62,4 м²;Общая;16 м²;Кухня;9 из 25;Этаж;2015;Построен",Тип жилья;Вторичка;Планировка;Изолированная;Санузел;1 совмещенный;Балкон/лоджия;1 балкон;Ремонт;Дизайнерский,"Год постройки;2015;Тип дома;Панельный;Тип перекрытий;Железобетонные;Подъезды;2;Лифты;1 пасс., 1 груз.;Отопление;Центральное;Аварийность;Нет"
14 200 000 ₽,"Москва, ЗАО, р-н Ново-Переделкино, Боровское ш., 37К3",Новопеределкино,"51,6 м²;Общая;29,6 м²;Жилая;8,1 м²;Кухня;5 из 14;Этаж;1988;Построен","Тип жилья;Вторичка;Планировка;Изолированная;Площадь комнат;12.5-17.1 м²;Высота потолков;2,7 м;Санузел;1 раздельный;Балкон/лоджия;1 балкон;Ремонт;Евроремонт;Вид из окон;Во двор",Год постройки;1988;Тип дома;Панельный;Тип перекрытий;Железобетонные;Подъезды;3;Лифты;2 пасс.;Отопление;Центральное;Аварийность;Нет;Парковка;Открытая;Мусоропровод;Есть
10 500 000 ₽,"Москва, ВАО, р-н Перово, 2-я Владимирская ул., 41К2",Перово,"46 м²;Общая;33,9 м²;Жилая;5,5 м²;Кухня;5 из 5;Этаж;1961;Построен","Тип жилья;Вторичка;Планировка;Изолированная;Площадь комнат;20.3-13.6 м²;Высота потолков;2,5 м;Санузел;1 совмещенный;Балкон/лоджия;1 балкон;Ремонт;Косметический;Вид из окон;Во двор",Год постройки;1961;Строительная серия;1-515;Подъезды;4;Аварийность;Нет;Парковка;Открытая
14 700 000 ₽,"Москва, СЗАО, р-н Митино, Митинская ул., 26",Митино,"51,3 м²;Общая;9,7 м²;Кухня;2 из 17;Этаж;2002;Построен",Тип жилья;Вторичка;Планировка;Изолированная;Санузел;1 раздельный;Балкон/лоджия;1 лоджия;Ремонт;Евроремонт,"Год постройки;2002;Тип дома;Панельный;Тип перекрытий;Железобетонные;Подъезды;9;Лифты;1 пасс., 1 груз.;Отопление;Центральное;Аварийность;Нет"
