Price,Address,Metro,Summary,General Information,Building Information,Price per meter
350 000 000 ₽,"Москва, ЦАО, р-н Хамовники, пер. Коробейников, 1",Парк Культуры,"249,3 м²;Общая;2 из 6;Этаж;2006;Построен",Тип жилья;Вторичка;Высота потолков;3 м;Санузел;3 совмещенных;Ремонт;Дизайнерский,Год постройки;2006;Строительная серия;Индивидуальный проект;Тип дома;Кирпичный;Тип перекрытий;Железобетонные;Подъезды;9;Лифты;2 пасс.;Отопление;Центральное;Аварийность;Нет;Парковка;Наземная,1 403 931 ₽/м²
500 000 000 ₽,"Москва, САО, р-н Хорошевский, Чапаевский пер., 3",Аэропорт,"628,3 м²;Общая;25 из 57;Этаж","Тип жилья;Вторичка Пентхаус;Планировка;Смежно-изолированная;Высота потолков;4,45 м;Санузел;4 совмещенных;Ремонт;Дизайнерский",Год постройки;2006;Тип дома;Кирпичный;Тип перекрытий;Железобетонные;Подъезды;8;Лифты;43 всего;Отопление;Центральное;Аварийность;Нет,795 798 ₽/м²
3 300 000 ₽,"Москва, НАО (Новомосковский), Московский, мкр. Юго-Западный, 3-й микрорайон, 4",,"15,1 м²;Общая;1 из 17;Этаж;2008;Построен",Тип жилья;Вторичка;Санузел;1 совмещенный;Балкон/лоджия;1 лоджия;Ремонт;Косметический;Вид из окон;Во двор,Год постройки;2008;Тип дома;Кирпичный;Тип перекрытий;Железобетонные;Подъезды;4;Лифты;2 пасс.;Отопление;Центральное;Аварийность;Нет;Мусоропровод;Есть,218 543 ₽/м²
3 390 000 ₽,"Москва, СЗАО, р-н Южное Тушино, Строительный проезд, 2С1",Сходненская,14 м²;Общая;12 м²;Жилая;2 м²;Кухня;4 из 4;Этаж;1960;Построен,"Тип жилья;Вторичка Апартаменты;Высота потолков;2,8 м;Санузел;1 совмещенный;Балкон/лоджия;1 балкон;Ремонт;Евроремонт;Вид из окон;На улицу",Тип дома;Кирпичный;Парковка;Наземная,242 143 ₽/м²
3 400 000 ₽,"Москва, СВАО, р-н Бабушкинский, ул. Коминтерна, 4",Бабушкинская,"16,7 м²;Общая;1 из 5;Этаж;1962;Построен",Тип жилья;Вторичка Апартаменты;Ремонт;Косметический,Год постройки;1962;Тип дома;Кирпичный;Тип перекрытий;Железобетонные;Подъезды;3;Отопление;Центральное;Аварийность;Нет;Газоснабжение;Центральное,203 593 ₽/м²
3 579 000 ₽,"Москва, ЗАО, р-н Очаково-Матвеевское, Рябиновая ул., 45К2",Озерная,"17,2 м²;Общая;4 из 5;Этаж;1959;Построен",Тип жилья;Вторичка Апартаменты;Высота потолков;3 м;Санузел;1 совмещенный;Ремонт;Косметический;Вид из окон;Во двор,Тип дома;Кирпичный;Парковка;Наземная,208 081 ₽/м²
3 599 000 ₽,"Москва, ЮВАО, р-н Текстильщики, ул. Артюхиной, 6К2",Текстильщики,"16,4 м²;Общая;2 из 5;Этаж;1954;Построен","Тип жилья;Вторичка Апартаменты;Высота потолков;3,3 м;Санузел;1 совмещенный;Ремонт;Евроремонт",Тип дома;Кирпичный;Мусоропровод;Нет,219 451 ₽/м²
3 657 000 ₽,"Москва, ЗАО, р-н Очаково-Матвеевское, Рябиновая ул., 45К2",Озерная,"18,2 м²;Общая;4 м²;Кухня;1 из 5;Этаж;1959;Построен",Тип жилья;Вторичка Апартаменты;Площадь комнат;1 м²;Высота потолков;3 м;Санузел;1 совмещенный;Ремонт;Косметический;Вид из окон;Во двор,Тип дома;Кирпичный;Парковка;Наземная,200 934 ₽/м²
3 679 642 ₽,"Москва, ВАО, р-н Вешняки, аллея Первой Маевки, 15с1",Рязанский проспект,"15,4 м²;Общая;13,2 м²;Жилая;6 из 6;Этаж;1970;Построен","Тип жилья;Вторичка Апартаменты;Площадь комнат;13,2 м²;Высота потолков;3,2 м;Санузел;1 совмещенный;Ремонт;Косметический;Вид из окон;Во двор",Тип дома;Кирпичный;Лифты;2 пасс.;Парковка;Наземная,238 938 ₽/м²
3 700 000 ₽,"Москва, СВАО, р-н Бабушкинский, ул. Летчика Бабушкина, 11/2К2",Бабушкинская,19 м²;Общая;14 м²;Жилая;1 из 5;Этаж;1956;Построен,"Тип жилья;Вторичка Апартаменты;Площадь комнат;14 м²;Высота потолков;3,5 м;Ремонт;Евроремонт;Вид из окон;Во двор",Год постройки;1956;Тип дома;Кирпичный;Тип перекрытий;Железобетонные;Подъезды;3;Отопление;Центральное;Аварийность;Нет;Мусоропровод;Нет;Газоснабжение;Центральное,194 737 ₽/м²
4 091 677 ₽,"Москва, ВАО, р-н Вешняки, аллея Первой Маевки, 15с1",Рязанский проспект,"16,2 м²;Общая;14 м²;Жилая;3 из 6;Этаж;1970;Построен",Тип жилья;Вторичка Апартаменты;Площадь комнат;14 м²;Высота потолков;4 м;Санузел;1 совмещенный;Ремонт;Косметический;Вид из окон;Во двор,Тип дома;Кирпичный;Лифты;2 пасс.;Парковка;Наземная,252 573 ₽/м²
4 490 000 ₽,"Москва, ЮЗАО, р-н Академический, ул. Кржижановского, 17К1",Профсоюзная,15 м²;Общая;4 из 5;Этаж;1955;Построен,"Тип жилья;Вторичка Апартаменты;Высота потолков;3,3 м;Санузел;1 совмещенный;Ремонт;Евроремонт;Вид из окон;На улицу",Тип дома;Кирпичный;Мусоропровод;Нет,299 333 ₽/м²
4 500 000 ₽,"Москва, ВАО, р-н Перово, ул. 2-я Энтузиастов, 5к39",Андроновка,30 м²;Общая;25 м²;Жилая;4 м²;Кухня;4 из 6;Этаж,"Тип жилья;Вторичка Апартаменты;Площадь комнат;17+8 м²;Высота потолков;3,6 м;Ремонт;Евроремонт",Тип дома;Кирпичный;Лифты;Есть;Парковка;Наземная,150 000 ₽/м²
4 900 000 ₽,"Москва, ЮАО, р-н Нагорный, Нахимовский просп., 1к2",Нахимовский проспект,15 м²;Общая;12 м²;Жилая;3 м²;Кухня;1 из 5;Этаж;1957;Построен,Тип жилья;Вторичка Апартаменты;Площадь комнат;12 м²;Ремонт;Косметический;Вид из окон;Во двор,Год постройки;1957;Тип дома;Кирпичный;Тип перекрытий;Железобетонные;Подъезды;3;Отопление;Центральное;Аварийность;Нет;Мусоропровод;Нет;Газоснабжение;Центральное,326 667 ₽/м²
4 999 990 ₽,"Москва, САО, р-н Сокол, ул. Зорге, 28",Зорге,"9,5 м²;Общая;1 из 9;Этаж;1967;Построен",Тип жилья;Вторичка Апартаменты;Санузел;1 совмещенный;Ремонт;Дизайнерский;Вид из окон;Во двор,Год постройки;1967;Тип дома;Кирпичный;Тип перекрытий;Железобетонные;Подъезды;3;Лифты;Есть;Отопление;Центральное;Аварийность;Нет;Парковка;Наземная;Мусоропровод;Есть;Газоснабжение;Центральное,526 315 ₽/м²
5 490 000 ₽,"Москва, СВАО, р-н Останкинский, проезд Ольминского, 7",Алексеевская,"18,3 м²;Общая;5 из 5;Этаж",Тип жилья;Вторичка Апартаменты;Ремонт;Евроремонт,Тип дома;Кирпичный;Парковка;Наземная,300 000 ₽/м²
